destination_port,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,bwd_packet_length_mean,flow_bytes_s,flow_packets_s,flow_iat_mean,fwd_iat_mean,bwd_iat_mean,fwd_header_length,bwd_header_length,fwd_packets_s,bwd_packets_s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,down_up_ratio,average_packet_size,active_mean,idle_mean,label
53,10016.225307475164,16,14,10784,8876,658,53,219.26574828923495,650.7075492885884,381711.490377269,382.14841890227046,2172.2058753429,1566.9131737688283,3154.1455209551027,320,280,191.07420945113523,191.07420945113523,40,1500,416.22678988357944,226.12329586304008,0,0,0,1,0,0.896050648180608,416.22678988357944,100.80719713908526,1301.056839678768,Benign
443,11740.072297832074,11,12,9900,6000,1100,100,900.0,500.0,63243.93906250657,5.5428133020080335,113.71667132421695,380.93537364074473,211.6340544605134,220,240,2.7714066510040167,2.7714066510040167,60,1100,700.0,373.81391820438466,1,0,1,1,0,1.0,700.0,50.0,200.0,Web Attack - XSS
3000,15852.58638549131,17,2,14161,2566,1094,50,386.71616148136667,738.9945968530928,433515.23714338057,264.4211046528686,4994.673456810252,13.967613287094245,427.31183111557726,340,40,132.2105523264343,132.2105523264343,40,1500,605.0551399339769,214.251468828119,0,0,1,1,0,0.8101788573180156,605.0551399339769,642.7460460752794,4463.712714981776,Benign
8080,30928.44194299299,5,5,1575,6075,663,41,404.6102558715218,331.40965284879155,410778.90147162735,458.2294116556003,769.8624965564215,1561.3033087571775,155.3991248931105,100,100,229.11470582780015,229.11470582780015,40,1500,595.5475181302049,295.9768574822461,0,0,0,1,0,1.1509498082165566,595.5475181302049,742.9087199537224,4499.286409245975,Benign
22,232266.60680153014,6,14,1026,11116,938,46,321.59415319425864,509.50787965060795,29363.444785481843,489.4622876891775,887.7848051106104,976.8928434680156,1279.825904762162,120,280,244.73114384458876,244.73114384458876,40,1500,523.0653710551843,61.22223098308955,1,0,1,1,0,0.9666996242496213,523.0653710551843,757.295572071193,1135.0064966921032,Benign
53,21487.84823049681,12,9,11004,1971,596,49,359.29953033096933,411.814506864881,135121.86778264045,270.8004454994726,933.5890075705989,805.1448676405836,629.0869450968055,240,180,135.4002227497363,135.4002227497363,40,1500,337.33527442045954,218.87695698373966,0,0,1,1,0,1.0700757662046496,337.33527442045954,633.3121744366106,2312.451052027967,Benign
8080,1920.1508417577304,15,14,12690,18256,517,45,749.5566476622687,870.6859568357291,6252.49710854102,495.2833625837723,1148.9112938224187,1237.786574951929,18.396001817807676,300,280,247.64168129188616,247.64168129188616,40,1500,759.8017177263794,100.92200653673922,1,0,0,1,0,1.0583857049996646,759.8017177263794,434.80153376982776,1003.8336452966756,Benign
9400,31.57333316330803,1,0,0,0,0,0,0.0,0.0,0.0,514.2892510516585,1.355067576304223,0.0,0.0,20,0,514.2892510516585,0.0,0,0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,PortScan
53,49170.41218343724,14,7,14350,1225,682,44,438.55512158638794,637.4457288519195,390129.5191359486,394.12338677952494,732.4704703561949,2341.907839163906,595.8696564442243,280,140,197.06169338976247,197.06169338976247,40,1500,777.6505896101189,134.07950823844087,0,0,0,1,0,1.1182327346169132,777.6505896101189,417.05523623270557,1145.5830695569953,Benign
22,115934.17106606615,3,7,1797,2926,1259,56,451.06807382973676,441.1933355915128,249577.20940532302,234.23961852713578,731.6583713180327,180.87441797466474,863.7381067700305,60,140,117.11980926356789,117.11980926356789,40,1500,357.57222902668707,114.51597214586694,0,0,1,1,0,0.970976768342624,357.57222902668707,626.6436833117583,3637.9667165237165,Benign
22,26559.797289040504,10,12,1740,4956,731,46,496.876612965124,794.3925735919574,437476.29017902934,93.57458522319405,146.45297678065072,1194.4037336716842,430.1130570143341,200,240,46.787292611597024,46.787292611597024,40,1500,212.07096719731425,361.0249342770343,0,0,1,1,0,1.0869737803513013,212.07096719731425,762.6534899114843,1007.307478965802,Benign
4444,45827.681988949975,52,60,15600,24000,500,40,300.0,400.0,19465.8115076512,4.032968731802518,1012.9570834879019,2471.3796050206415,917.989636368171,1040,1200,2.016484365901259,2.016484365901259,40,600,350.0,120.0,1,0,1,1,0,1.1,350.0,100.0,2000.0,Botnet
64472,24.426753922092853,1,0,0,0,0,0,0.0,0.0,0.0,554.7038300215065,8.660866469002695,0.0,0.0,20,0,554.7038300215065,0.0,0,0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,PortScan
443,110840.96208945701,6,5,1200,2900,1125,54,607.3672545684019,707.5672132283555,482550.7798320495,137.5947057850851,18.62886384997542,946.5552473391465,1472.2415080783321,120,100,68.79735289254255,68.79735289254255,40,1500,713.7648593239422,117.80862655868371,0,0,1,1,0,0.9322403239880007,713.7648593239422,860.511486587445,2368.800768693601,Benign
3000,173293.20313017815,12,19,9648,12749,564,46,527.6592848019745,349.80497922171196,238287.7342914705,165.90585265926455,310.205062247635,4092.952585670053,209.3299342247993,240,380,82.95292632963228,82.95292632963228,40,1500,711.7617943473069,394.4577358191252,0,0,1,1,0,0.9011647222225149,711.7617943473069,40.48782432830444,2014.447894783154,Benign
53,54971.17032156459,14,11,11172,8646,1092,43,382.54778689195075,560.1357494917214,357015.22285658796,463.842005456335,92.59521472867421,3704.6110885356225,3050.8847965356517,280,220,231.9210027281675,231.9210027281675,40,1500,235.09953991767532,176.11239819204695,1,0,1,1,0,1.111637577352708,235.09953991767532,719.0333387898875,2483.850565635818,Benign
53,32819.08946317213,17,10,9197,3870,739,54,473.51990010825983,724.1792245227912,333939.43257921183,495.8015288634631,1249.0364384115803,214.9961120303904,3735.196879210337,340,200,247.90076443173155,247.90076443173155,40,1500,634.0551971897448,70.76838078223646,1,0,1,1,0,1.03081674479601,634.0551971897448,354.0196380320112,4104.54817035308,Benign
